;;;;;;;;;;Daily report lt 55 zone ABCD;;;;;;;Printed Date 2021/12/21(Tue);;;1
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;2021/12/20(Mon);;;;;;;;;;;;;;;;;
;;;kWh total 55 Zone A;kWh WBP 55 Zone A;kWh LWBP 55 Zone A;kWh total 55 Zone B;kWh WBP 55 Zone B;kWh LWBP 55 Zone B;kWh total 55 Zone C;kWh WBP 55 Zone C;kWh LWBP 55 Zone C;kWh total 55 Zone D;kWh WBP 55 Zone D;kWh LWBP 55 Zone D;kW Total 55 Zone A;;;;;
Page No.;Date;Time;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kW;;;;;
4;20/12/2021;Daily Maximum;3.2;2.7;3.3;12.9;2.1;12.8;6.1;0.9;6.2;26.3;2.4;25.9;24.1;1.9;24.4;;;
4;20/12/2021;Daily Minimum;1.9;0.0;0.0;0.4;0.0;0.0;0.2;0.0;0.0;0.3;0.0;0.0;0.4;0.0;0.0;;;
4;20/12/2021;Daily Average;2.6;0.4;2.2;5.0;0.3;4.8;2.9;0.1;2.8;8.8;0.4;8.4;6.7;0.2;6.5;;;
4;20/12/2021;Monthly Total;1227.2;219.2;1008.0;1863.6;91.5;1772.2;841.0;42.8;798.3;2522.8;106.1;2416.8;2489.4;145.9;2343.4;;;
4;20/12/2021;Monthly Maximum;65.3;11.6;53.9;194.4;8.7;188.0;70.6;3.8;68.7;234.3;10.2;224.7;228.0;25.6;215.9;;;
4;20/12/2021;Monthly Minimum;54.3;10.1;43.5;9.3;1.5;7.8;5.9;0.9;4.9;8.7;1.4;7.2;10.5;1.7;8.7;;;
4;20/12/2021;Monthly Average;61.4;11.0;50.4;93.2;4.6;88.6;42.1;2.1;39.9;126.1;5.3;120.8;124.5;7.3;117.2;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Daily report lt 52 Zone FGHI;;;;;;;Printed Date 2021/12/21(Tue);;;5
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;2021/12/20(Mon);;;;;;;;;;;;;;;;;
